Name,Title,Rating,Comment
Aakash Ashok Ojha,"







  
  
    Trust In Amazon, INTACT !
  
",5.0 out of 5 stars,"









  
  
    
  First i would like to write about the Online Shopping Platform : AMAZON.Amazon is and i believe will be the best and the most trusted e-commerce brands in the country.Speculations and scepticism about whether or not, you should buy electronics from Amazon, will always be there.But my answer would be, GO FOR IT.I did buy this product from Amazon and it is AUTHENTIC.No doubts remain anymore.Well that being said, nothing is permanent.I TRUST IN AMAZON, when i think about buying anything from Apples to Apple Iphone.Keep it up.Good delivery, on time.Amidst the lockdown wave, starting 13th July, Midnight.I got it on the morning of 13th. So no complaints.Delivery: Good.Product Packaging: Very Good.Notifications: Good.Shopping Experience: Good.About the product, well you guys, know about it very well already.One stop shop for all my shopping needs.AMAZON is the way to go !

  
"
Geet chopra,"







  
  
    The best is here !
  
",5.0 out of 5 stars,"









  
  
    
  Phenomenal is the word , apple finally clicks in India with its predatory pricing and top notch feature which makes it hard to let go.The battery is running strong and the added extra camera is a plus. Apple you aced this one.

  
"
Santosh,"







  
  
    Average
  
",3.0 out of 5 stars,"









  
  
    
  Display is not at par. even after adjusting the colour settings. More of Yellow tint.Screen width is not suitable for e- reading in phone.Top notch is disturbance for watching videos in full screen.Keyboard is occupying half of the phone space.Camera, I think my expectations are on higher side.Side button disconnects the call and doesn’t lock the screen during the calls.However phone performance and sound are good.In my opinion I should have waited for iPhone 12.

  
"
Amazon Customer,"







  
  
    Received faulty phone
  
",1.0 out of 5 stars,"









  
  
    
  Received faulty phone.Don't buy here, buy from store. I am suffering from a problem with this phone but Amazon is directing me to the iPhone store now rather than return or replacement, so what's the point in purchasing from amazon.

  
"
Lalit 009,"







  
  
    Overall a great phone just not a perfect one.
  
",4.0 out of 5 stars,"









  
  
    
  My mom got this phone after using oneplus 5t for 2 years and for change she wanted to try iOS. As she is not a heavy user and not a pixel peeper and also inclines towards fancy colored phones[previously lava red 5t] I thought of advising her to go for iPhone 11. Now coming to the phone or should I say iPhone, it is really a good one fulfilling many of its duties; I'll just list out a few points regarding the phone:Pros:A great camera with realistic colors[not highly saturated]The best video recording on a mobile[as of Feb 2020]Somewhere between great to excellent battery lifeThe software experience is great if you're into ""apple way"" of things and the whole experience is just FLUIDICThe phone feels expensive and gives you a feel-good factor and also the build is pretty stellar even if some people are commenting that it's sides are alluminium and not steel.Cons:Many buyers and even youtubers are saying that the display is great and you wont notice the difference in day to day life but I dont want to sugarcoat things! The display is DECENT and NOT great! In day to day life with texting applications and general usage of phone you wont feel any difference, that is correct, BUT when you get into media apps like youtube, NETFLIX, ... etc you will notice the difference of lower resolution. there's just no escaping that fact.You will also notice a great difference in screenshots containing text.The display, in my opinion, would be the main deal breaker for me but in my case the phone is for my mom and she's not a tech geek and she's loving the purple color and the camera of the phone.And also if you're into data transferring between your phone and your laptop[windows laptop] this phone will frustrate you for sure. For this I will suggest you to rely on cloud based services and not on manual cable sync process.Conclusion with personal thoughts:Overall the phone is a great one if you're not a tech geek and want the latest iPhone. It's also a great pick for those who want great hardware with flagship tech but prefer watching media on laptop or smart TV.

  
"
little F.,"







  
  
    Lack of customer loyalty and too many faulty devices
  
",1.0 out of 5 stars,"









  
  
    
  Freaking pathetic when the phone was a defective piece and wanted to replace/refund.. they say contact the apple brand and when I go to them they say they don't have any connection since it was bought from Amazon and when I contacted the Amazon someone names ( TANMAYA) was in touch as customer service agent was trying to toss me around here and there ...and when I ask for a denial letter that Amazon and they claim they aren't responsible for this..

  
"
NK,"







  
  
    Received Defective, Screen Bleeding Issue
  
",1.0 out of 5 stars,"









  
  
    
  Received Defective, Screen Bleeding Issue

  
"
pk2013,"







  
  
    Beast with a limp
  
",4.0 out of 5 stars,"









  
  
    
  Been almost 10 months I have been using the iPhone 11 128 GB. Apple is known as one of the premium phone manufacturers who do not compromise on quality, user experience and simplicity (company claims). It is certain that the Apple products have a brand appeal in the Indian market. This appeal allows them to charge a surplus from the customers for their products. Opinions differ if this is justified. For me, I like to evaluate the phone’s features with the cost.The build quality And design of this phone is absolutely fantastic! Curves at the right places, the tactile buttons, it just screams premium. When you pick up the phone, you feet the weight. I came into this phone from a Samsung galaxy and the first thing I notice is the disparity in the weight. This is probably due to the LCD screen on the former as compared to OLED in the galaxy series. The screen on Iphone 11is a “Liquid Retina display”; fancy term for a highly polished, well optimised LCD screen. It is a good screen. It is just slightly above 720p resolution but in everyday activities most people won’t notice it. I noticed it. For me, the screen is a major downside of this phone. You are shelling out almost 70000 ₹, the customer deserves at least a 1080p (full HD) screen. Today when most of the “budget” phones come with 1080p screen, the step back by Apple is definitely not appreciated. It is also necessary to mention, I prefer OLED screen over LCD due to their deep blacks and high contrast ratio. But surprisingly, this LCD screen on the iPhone is better than a few OLED screens I compared it to!(albeit comparing at the same resolution)- Xaomi note series, vivo and oppo. Only Samsung screens were ridiculously amazing even in their M series phones.Another positive of iPhone is the amazing battery life. I am a very heavy user with lots of videos, streaming music all the time, Bluetooth on, WiFi on, location on, browsing, multiple calls daily, video conference meetings, push email- official and personal, light browsing on social media sites and a lot of photos/videos. This beast survives the whole day! But the thing that irks me is the puny 5 watt charger in the box. It takes close to 3 h to charge from 10% to 96%! I suggest you buy a 12 watt charger that is sold separately. Apple should have provided a 12 watt charger in the box at the price point.Another frustrating part of the Apple ecosystem is the iCloud storage that essentially is required if you want to back up phone/photos etc. this costs 79₹ for 50GB PER MONTH. Apple pulls you into their ecosystem with their services, which I must say are excellent. The Apple ecosystem is stress free and just seamless. The phrase “it just works” really works here. I have an MacBook Pro and the iPhone works really well with my laptop allowing me to answer calls, messages right from my laptop.The one feature I wasn’t too sure of, which grew on me until the start of pandemic, is the face recognition. It’s safe, secure and absolutely amazing. It works for all authentication requirements of the phone and is beautiful. I understand now the appeal of face recognition and the “soli” chip on the google pixel4. Btw, the pandemic and the accompanying masks have created a hurdle for the face recognition. Today I wonder if the fingerprint would have been better than the fancy face recognition.One of my favourite is the cameras! It’s Apple! They made their name and reputation on cameras. I won’t say too much on this topic as it’s well known. Only google pixel can compete in the photos department but they iPhone is definitely the video kings.Another key area in which Apple has made their name is the security, encryption and privacy policy. This is one of the major reasons for their premium price tags.I give this phone a very enthusiastic 4 stars. I wish they improve the screen at this price point to at least a 1080p and include a respectable charger in the box. I have not talked about the OS as I believe iOS or android is a personal choice and I am reviewing the key features of the iPhone and it’s hardware.

  
"
Ajay Augustin,"







  
  
    iPhone 11 review after 3 months!
  
",5.0 out of 5 stars,"









  
  
    
  This is phone is amazing!Face ID : responsive and super save!!Camera: It’s the best feature of this phone! Really good camera.Display: it’s still good! When compared to a one plus 7 and 8. It’s just brighter but it’s not sharperIf you want the best display in the game go for 11 pro.I have no complaints on this

  
"
Sushant,"







  
  
    Phone Awesome. Amazon Service Bad.
  
",2.0 out of 5 stars,"









  
  
    
  MRP on product is 69k for 128gb variant but Amazon is selling for 73.6k saying revised price after April’2020. Is this justified?Also I have opted for 6 months no cost emi but when I see my credit card statement entire amount is due. Amazon now claiming that I have not opted for any emi option and asking me whether I took any screenshot while making payment. Such an unprofessional behaviourNow come to the phone-Everything is awesome except whenever you make call or incoming calls the network for that number dies and quality of call is terrible . I am using it as dual sim and not sure if it bcoz of this.Battery also taking too much time to get chargedMobile is heating after half an hour of use

  
"
lakshay manik,"







  
  
    Honest review. Must read.
  
",4.0 out of 5 stars,"









  
  
    
  Not rating right now.But i want to make one thing clear. I ordered the device on sale, from delhi, seller: appario.The device is genuine. Authentic with one year warranty.One week+ , review: the phone is working as expected. Apple devices,i believe, are not for hard usage and i bought this to put some restrictions on myself. Will update again after some time.I saw people writing negative reviews about appario so i felt fear that i made a mistake.. but then last year my friend ordered XR on sale during october like i did this year..He said that people who are happy with thier product are less likely to write a feedback and those who do not get as promised are the once who lash out which is fair.So here i am writing this.First two days reviewBattery life okCamera natural light good, artificial good (artificial zoom avg)Face id goodInterface once u get everything its hard to not track everythingRest everything is typical appleConPhone is heavy hahahaIll try to keep updating..

  
"
Engagement Media,"







  
  
    New iPhone received today with dead battery!
  
",1.0 out of 5 stars,"









  
  
    
  Ordered for iPhone 11 and received the very next day. When tried to switch on the phone, it did not work. Tried out it on charge and figured it had 0% battery charge! Normally it happens when there is a problem with battery or the phone which drains out charge even though it's switched off! Immediately notified Amazon and demanded refund/ replacement! Then we figured you can't get refund for Apple products on Amazon. However if the product is faulty, they will try fixing it or replace. Have not set up the phone yet as people suggested not to do that, else there may be further trouble returning the product. Confusing suggestions from customer care team, technical team etc. Suggestions: Never ever buy premium products, specially Apple products on Amazon. Will put together the whole experience once we know what's happening and share details.

  
"
Abhishek Mohanty,"







  
  
    Unbiased Review after 1 month of Usage
  
",4.0 out of 5 stars,"









  
  
    
  Battery Life-Can't Complain much on this, pretty decent, but the 5 W charger needs to be changed big timeCamera-Video quality is the best in any smartphone, but wide angle night mode needs to be considered, picture quality is very very good, I just think that at times the pictures are a but Orangish for indian Skin tones....just my opinion to be honestSound Quality- Very crisp and clear, may not be the loudest but clarity is top notchProcessor- The bestScreen Quality- I found it okay, don't keep your expectations too high, it does a great job for a LCDValue for Money- For an iphone, it is definitely a value for money, just get it if you don't have money to spare for the pro models, but if your main motive isn't camera and you don't have any interest to incease your apple ecosystem, then go for other Samsung Note 10 plus or OP 7t pro

  
"
lakhbir,"







  
  
    Fall in love
  
",5.0 out of 5 stars,"









  
  
    
  Camera is too good, smooth touch, fantastic sound quality, fantastic look, and performance is too good

  
"
Ajay Kumar singh,"







  
  
    Camera Quality is not good.
  
",1.0 out of 5 stars,"









  
  
    
  Camera is Defective.

  
"
Dilip Das,"







  
  
    Best device ever by apple
  
",5.0 out of 5 stars,"









  
  
    
  Firstly thanks to amazon for delivering product safely and on time. I was looking to upgrade my iphone x was using it since 2018 was very much satisfied with it. And since iphone 11 was launched was very much confused wether I should buy pro series or else should stick with 6.1 inch line up people was sharing their thoughts that it's just an xr update with 2 dual camera. Which was confusing decision for me but I made my mind and got iphone 11 and I am really happy with my decision it saved my 50k for it's a paisawasool product for just one more camera and oled display it's not worth to spend that huge amount.Pros:-•Wide angle camera•Supports fast Charing•Stunning looks•Superb Camera quality•Safe and secure device •Flagship A13 Bionic ChipCons:-•The worst slow charger which apple still provide us 5w @1amp•Still have huge notch•Bit costly in India

  
"
Atulya Nagarsenkar,"







  
  
    Happy with the product but not happy with the old phone exchange process
  
",4.0 out of 5 stars,"









  
  
    
  Actually, I ordered the phone (on 2 July) without checking the reviews, as I believed in the Apple quality and Amazon delivery (I am using iPhone since 2012). Later, when I checked the negative comments (around 15% of overall comments), I was bit worried, as all people commented saying they faced heating issues/camera problem/audio and sound issues. However, I received my mobile yesterday (7 July), fortunately everything is good. I will update my review, if I encounter any aforementioned problems in the future.I gave 4 stars instead of 5 as I had a lot of problem while exchanging my older phone. The delivery was initially scheduled on 6 July, the delivery guy was uneducated and didn't know the exchange process, I wasted my 4 hours for this process on that day. Finally, on 7 July the new delivery guy came and resolved the process.

  
"
veronica,"







  
  
    Best Buy iphone!
  
",5.0 out of 5 stars,"









  
  
    
  Awesome phone!! Specially if you’re upgrading from an older iphone! Absolute value for money! You get the best camera on any phone, best battery life with the fastest iphone processor at a very reasonable price (in iphone standards). There is absolutely no reason to not buy this phone!

  
"
Amazon Customer,"







  
  
    Best performance of all time in an Iphone
  
",5.0 out of 5 stars,"









  
  
    
  You won’t regret it If you buy it .Camera quality is awesome and performance of this phone is next level. Lucky to have this phone in pocket

  
"
sandeep,"







  
  
    defective  piece  OR a  faulty  product !!
  
",1.0 out of 5 stars,"









  
  
    
  got the phone delivered within a day . Excellent service. But I guess the responsibility ends there itself.  the product is faulty .  Screen flickers ,  touch screen becomes un-responsive,  screen black out for a  few seconds is common and above all the  iphone heats  up horribly  to an extent that it made me uncomfortable holding the phone.  having read on  google now, it seems the product is faulty and heating is a common problem.  Fed up of liaising with Apple  & Amazon . hoping it will be replaced

  
"
Darshanaaa borgohain,"







  
  
    Fake product
  
",1.0 out of 5 stars,"









  
  
    
  So the charger adapter is the old the 5w one but in other videos i have seen it has the new one i feel like something is wrong.

  
"
Curious shopper,"







  
  
    Happy with my phone!
  
",5.0 out of 5 stars,"









  
  
    
  I’ve always been fascinated with iPhones but never bought one, due to lockdown I had postponed my shopping for few months but my older phones was bugging me a lot so I had to buy new one,At first I wasn’t sure about online shopping for iPhone but this pandemic left me no choice, ultimately I ordered after a long contemplation and I should say I’m happy with the purchase... I wouldn’t keep using it and then I’ll update my review according to my experience

  
"
Amazing,"







  
  
    Luckily got a good phone!
  
",4.0 out of 5 stars,"









  
  
    
  Too new to rate. Some of the recent reviews were extremely scary for an Apple product and unfortunate that those customers were given bad products. Took a risk, ordered and told to cancel but Amazon force delivered the product. Opened and checked for defects, none so far.  Made in India, product is authentic! Thankfully not a refurbished phone. Verified the warranty, started using, so far so good. Will try update review periodically for your benefit.

  
"
Abhishek,"







  
  
    Major issue with Mike n speaker
  
",1.0 out of 5 stars,"









  
  
    
  I am having Mike n speaker issue, n due to lockdown I dint got chance to return it, but I dint expected this Frm amazon surely not with product like APPLE

  
"
Arun,"







  
  
    Mobile was soo heating,
  
",1.0 out of 5 stars,"









  
  
    
  Please do not buy this

  
"
praveen,"







  
  
    Only 5 GB iCloud Storage not good!
  
",3.0 out of 5 stars,"









  
  
    
  If you are going from Android to IOS, You are going to suffer on few things:- Google provides 15 GB storage for google photos.- ICloud provides only 5 GB Storage and always ask for the money to buy storage as notification.- You will not be able to move or restore your whats app data from Android to IOS without using any 3rd party paid software.>>>Pros<<<<<- Camera Quality is Awesome.- Battery is OK.- Look is awesome.- Face Recognition is also OK.- Sound is nice.- Touch experience is top notch for the Android users.- Single SIM can be inserted and 2nd SIM would be eSIM and will have to visit Airtel store or JIO Store.>>>>>Cons<<<<<<- iCloud storage is low for photos.- Battery would have been better.- Earphone/EarPods or charger cannot be used as the sametime.

  
"
Ankit Gupta,"







  
  
    The phone hangs
  
",3.0 out of 5 stars,"









  
  
    
  Moved to this phone from samsung s8. Transition to ios is easy, however, I miss a lot of android features which are very easy to include in ios but for some reasons not implemented. Battery life is great. Camera is good too, however, i miss the raw support. A bit bulky and screen could be better. Hangs a few time which was not expected from iphone. Charger is too slow. Should be getting a fast charger with a phone of this price.

  
"
Adithya Gopikrishnan,"







  
  
    Best in class
  
",5.0 out of 5 stars,"









  
  
    
  I switched from a realme1 to this phone so obviously i was blown away. The animations are so smooth,phone has premium feel, and its something u feel like u can carry around for the next 5 years.Playing games is on a whole other level on this phone , u can play with The max setting on pubg and 1 game would draw a max of 15-20 percentage. This isnt bad as pubg is a demanding game and running it on max setting is a very good deal.On the privacy side also apple is remarkable with its face id and permission mechanism.Every app is also 100x better than its counterpart in android as its very well optimised.Really awesome phone and i highly recommend if u want a phone urgently.or u can wait till iphone 12 :D.And Jus for a note..this last year flagship can throw the samsung s20 ultra and run circles around it on the performace level.

  
"
Curious,"







  
  
    Not a great phone
  
",1.0 out of 5 stars,"









  
  
    
  The touch is intermittent...sometimes great... sometimes doesn’t respond. Heavy. Network receiver not working properly. What else to say... feeling cheated....After one month.....Now it’s been over a month since I have been using it and I feel that it’s the worst product from Apple. I don’t know what’s the reason but even after two updates, I feel that the touch is not working well and it keeps hanging on. The camera is not very wow but works well (looking at the price it’s not something really great...this much is expected at least). Also, the Face ID doesn’t work most of the times. And it takes more than 5 seconds to realise that it now needs to show up the regular pin/pattern to unlock. Even otherwise, I personally don’t find Face ID to be successful. To be true my four year old nephew finds it really easy to open this as he would keep my phone ready to capture my attention and would say something that would lead me to look at the phone unknowingly.

  
"
Amazon Customer,"







  
  
    Worst quality iPhone was delivered
  
",1.0 out of 5 stars,"









  
  
    
  a bad and defective piece iphone11 was delivered to me . Battery, Camera etc are substandard. Phone gets heated even while talking. Its takes 8 hours to do full charge. seller has given me a defective product

  
"
Abhishek Mukherjee,"







  
  
    The best decision of my life
  
",5.0 out of 5 stars,"









  
  
    
  From the last 3 months, i was waiting for the best possible phone in every aspect. I got to know about iphone 11 being one of the best selling apple products. Watched lots of videos on youtube related to unboxing, reviews. Especially i was looking for cons rather than pros. I got to know that the display not being oled is not that good. Then i compared it with iphone 11 pro and i got to know that build and display is only better in pro model, except that everything is same. I came to a decision of buying the iphone 11 and purchased it on prime day sale on 62k with discounts. From the last 3 weeks have been using iphone 11 as my primary phone and i can say it has been the best decision of my life. ios is buttery smooth, its 120hz touch response rate gives you a 90hz refresh rate feeling. No lag whatsoever. Ram management is superb. Sound quality is topline having that loud stereo speakers. Though i can say the speakers are not as loud as what i had seen in asus rog 3(being a reviewer on youtube) i get review units. Next the battery life is as good as a 5000mah android phone. It can easily last for a day and a half with moderate usage including gaming. The display might be not that vibrant and saturated like oled panels but its super bright and the blacks are much richer than what you see on other lcd panels(afterall its apple, you get what you pay). Finally the camera makes you feel like so great. The photos might not look that good in phone but transfer it to your pc, you will see the clarity of the camera. Video quality is superb. So overall a must buy if you are planning to invest in a phone which can last for the upcoming 5yrs. Hope my review helps ppl still deciding whether to buy iphone 11 or not.

  
"
Navi/Navtej Singh Duggal,"







  
  
    iPhone 11 comparison any mobile Ram,Performance
  
",5.0 out of 5 stars,"









  
  
    
  1.Very fast No comparison with 8,12,12Gh rams.  2. Camera great beyond MPs 48mp is nothing . Iphone  camera is fast far batter.3. No comparison Androids 11.4 Light weight5ThankUApple. TODAY 19 July 2020 MY PHONE FALLEN FROM 1st floor ON HARD SURFACE. After CHECKING-0 SCRATCHIEST.——great great

  
"
SOUMYESH MOHANTY,"







  
  
    Awesome buy
  
",4.0 out of 5 stars,"









  
  
    
  Buttery smooth with superb display comparable to Samsung's super amoled(but lacks contrast nd easy on eyes)Awesome cameraLcd has its own benifit(features like true tone combines to give best lcd in market now)Cons are few but major isheating up a bit(but mostly during gaming)13.1.2 is little buggy software update might solve all issues...Overall device is bang for bucks

  
"
Priyanka Rajvanshi,"







  
  
    You definitely need this Apple! 😄
  
",5.0 out of 5 stars,"









  
  
    
  My best purchase this year so far😍. I purchase most of the electronics from Amazon and this prime day sale was a cherry on top. Talking about the colour scheme- very pretty and different. Battery life is amazing, the display, the face recognition, everything is amazing. Iphones are pricey, but the processor and everything is just amazing. Please make sure that you update your iphones to their latest version for smooth functioning. Overall very much satisfied with this one. And this is my mom with the mirror selfie as she loved the colour and was very much excited to click. 💚

  
"
Vijay127,"







  
  
    Don't Buy from amazon they are selling refurbished faulty products.
  
",1.0 out of 5 stars,"









  
  
    
  Got the phoneWithin 10 days it started randomly shutting down.Apple says it's a hardware problemBut amazon is not replacing it because return window ended 2 days back.Amazon customer care representative clearly said that it's not amazon problem.They have washed off their hands.BEWARE OF AMAZON!!!!

  
"
Rajendra,"







  
  
    Damaged and used
  
",1.0 out of 5 stars,"









  
  
    
  Scratches over backside

  
"
Amazon Customer,"







  
  
    The best you can get!
  
",5.0 out of 5 stars,"









  
  
    
  It’s just beautiful. The iOS is so fluid and smooth. No lags whatsoever. Camera takes awesome pics. The best part is the battery. It easily lasts 1 day and maybe more with fairly intensive use. I am moving from Android to IOS and I already know that I am never ever going back to Android again. The phone feels solid and sturdy in the hand.I don’t have any negatives to write about even though I really thought about writing some because a review is never fair without writing pros and cons. Go for it with eyes closed and you won’t go wrong. Go for a 128 Gigs. You will definitely need it.

  
"
Teena Bisht,"







  
  
    Defective product
  
",1.0 out of 5 stars,"









  
  
    
  One speaker of mobile is not working

  
"
Sahil Sharma,"







  
  
    Quality review
  
",1.0 out of 5 stars,"









  
  
    
  Product is not upto mark......Voice quality issue... Left speaker is not working......I am of firm opinion that the phone are refurbished one which are sold on Amazon.I be never ever be buying iPhone on Amazon

  
"
MSA,"







  
  
    So far so good...(1 week user)
  
",4.0 out of 5 stars,"









  
  
    
  I am a first time and new iphone user after decades of Android ownership - Blackberry and OnePlus 3 this past decade. One of the main reasons for buying the iphone 11 was price came down during independence day sale week!This is why I decided against a new OnePlus:1. Ear piece on the phone is extremely poor even with calls on speaker.2. Camera is beyond awful. Problems 1 and 2 could not be resolved even after giving piece to OnePlus dealer.3. In the 4th year, weird things started happening - calls without showing caller, youtube plays without volume, calls with caller Id but with no volume, among other problems.That said, user interface and general phone speed were good and reception was decent. As I'm planning a Mac, decided to get iphone and based on reviews, decided to get 11 instead of X or SE primarily because of A13.I'm a regular user and am not active on social media and don't use phone for gaming either. Uses are - calls and basic browsing. As I'm working from home, don't even use it for Amazon, Netflix etc which I see on TV. So, based on this usage, here's my one-week review.First, I was apprehensive on what Apple sells with the phone so I even bought a wireless charger (https://www.amazon.in/gp/product/B085W5BQ5H/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1) and Basics ear phone. Thankfully, iphone 11 comes with charger and earphones.Appearance of 11 - given my usage etc., I don't particularly care for looks of any phone - as long as ergonomically convenient, I'm fine. The phone feels lighter than my OnePLus 3 and even Samsung M21. Sleek and looks good. However, I would recommend red colour if you don't mind it - black is a little staid and anyway you use covers for phones.User interface - I didn't have any problem with OnePlus and so far, Apple seems to be fine. sufficient speed in opening and closing apps and easy to navigate. I just figured how to toggle screens - it's a little tougher than on Android phones, but I guess you will figure it out.Camera - compared to OnePlus - AWESOME. incredibly sharp, the night camera is awesome and it's got panorama as well.Speaker - AWESOME. given my problem with One Plus, this is awesome.Charger and battery - stock charger is decent - but it does take about 2 hours to charge from 20%. Battery life lasts easily 24+ hours. But then my usage is also minimal - right now I'm charging once in 2 days. Wireless charging (RAEGR Arc 400) is quite slow. the OnePlus was amazing in this area and fast charge is missed.earphones - Thankfully iphone 11 uses charger jack for earphones. the stock ear phone is decent - fits snugly and has decent wire length and audio is decent. the Amazon basics one is also decent.Overall user experience:Pros - a good overall experience and barring minor points stated below, i'm happy with the iphone 11.Downloading and installation of Apps - straghtforward and decent.Call signal quality etc. - quite good, no complaints.Don’t worry about Face ID it works well in the dark as well. If it doesn’t you just need to use your passcode so it isn’t bad. For the most part it’s quit consistent. Keyboard experience more or less similar to android so nothing different there either.Cons - 1. it appears that phone numbers can't be copy-pasted from internet to dial pad - and it's a pain.2. screen/mirror casting isn't working on a Croma TV as easily or sometimes at all.3. easy of navigation between Chrome Windows on Google isn't as easy as on Android - you can easily move back and forth between tabs opened on Google - can't do that that easily here.One other point - transfer of data from Android to iphone was hardly a problem - the iphone takes you through the process. Data gets backed up to your iCloud and you can access it and deal with it.Hope this review helps next buyer.

  
"
